SECTOR,HS2,PRODUCT DESCRIPTION,EXPORT (RM MILLION)
Agriculture & Food,10,Cereals,63.57
Agriculture & Food,15,Fats and Oils,18820
Agriculture & Food,18,Cocoa,3320
Agriculture & Food,21,Food Preparations,1930
Agriculture & Food,23,Animal Fodder,774.18
Energy & Resources,25,Salt and Cement,460.02
Energy & Resources,26,Ores and Slag,1820
Energy & Resources,27,Mineral Fuels,47380
Chemical ,29,Organic Chemicals,5370
Chemical ,30,Pharmaceutical Products,472.19
Chemical ,31,Fertilisers,824.98
Chemical ,32,Dyes and Pigments,965.42
Chemical ,38,Chemical Products,6180
Energy & Resources,68,Articles of Stone and Cement,935.92
Energy & Resources,70,Glass and Glassware,1580
Metals,71,Precious Metals,3750
Metals,72,Iron and Steel,6500
Metals,73,Articles of Iron or Steel,2720
Metals,74,Copper,2750
Metals,76,Aluminium,6620
Machinery & Technology,83,Miscellaneous Metal Articles,485.58
Machinery & Technology,84,Machinery,32000
Machinery & Technology,85,Electrical Machinery,121690
Machinery & Technology,90,Precision Instruments,15540
Machinery & Technology,95,Toys and Sports Goods,909.6
