YEAR,HS,PRODUCT DESCRIPTION,IMPORT (RM Million)
2019,10,CEREALS,6792.453254
2019,15,FATS AND OILS,6772.271549
2019,18,COCOA,4677.872553
2019,21,FOOD PREPARATIONS,4399.886906
2019,23,ANIMAL FODDER,4500.147622
2019,25,SALT, STONE AND CEMENT,2115.271208
2019,26,ORES AND SLAG,10554.08839
2019,27,MINERAL FUELS,124000
2019,29,ORGANIC CHEMICALS,15804.6245
2019,30,PHARMACEUTICAL PRODUCTS,6820.742718
2019,31,FERTILISERS,3370.168347
2019,32,DYES AND PIGMENTS,3385.714184
2019,38,CHEMICAL PRODUCTS,15333.46308
2019,39,PLASTICS,37006.92206
2019,40,RUBBER,14924.47646
2019,44,WOOD PRODUCT,3189.011037
2019,47,PULP AND WASTE PAPER,1747.294972
2019,48,PAPER AND PAPERBOARD,8197.990695
2019,52,COTTON,2145.65036
2019,61,KNITTED APPAREL,3562.344661
2019,62,NON-KNITTED APPAREL,2694.349996
2019,63,TEXTILE ARTICLES,1731.323759
2019,64,FOOTWEAR,2591.607932
2019,68,ARTICLES OF STONE AND CEMENT,1298.198171
2019,70,GLASS AND GLASSWARE,3930.125273
2019,71,PRECIOUS METALS,16580.86712
2019,72,IRON AND STEEL,27410.70019
2019,73,ARTICLES OF IRON OR STEEL,11437.84426
2019,74,COPPER,14573.11139
2019,76,ALUMINIUM,15052.8559
2019,83,MISCELLANEOUS METAL ARTICLES,1730.085737
2019,84,MACHINERY,86077.99515
2019,85,ELECTRICAL MACHINERY,231000
2019,86,RAILWAY EQUIPMENT,641.360118
2019,87,VEHICLES,26868.74042
2019,88,AIRCRAFT,12830.8188
2019,89,SHIPS AND BOATS,775.842757
2019,90,PRECISION INSTRUMENTS,23377.26154
2019,94,FURNITURE,4509.157125
2019,95,TOYS AND SPORTS GOODS,2109.098849
